siteID,runID,year,odepth,odepth_sd,mdepth,moss_biom,active,OM,OM_N,flit_cornus,flit_acerfrax,flit_prunus,flit_betula,flit_queralba,flit_tsugthuj,flit_populus,flit_fagus,flit_querrubr,flit_abies,flit_picea,flit_pinus,flit_roots,flit_smboles,flit_lboles,flit_twigs,flit_smbranch,flit_lbranch,flit_WDW,flit_moss,lit_cornus,lit_acerfrax,lit_prunus,lit_betula,lit_queralba,lit_tsugthuj,lit_populus,lit_fagus,lit_querrubr,lit_abies,lit_picea,lit_pinus,lit_roots,lit_smboles,lit_lboles,lit_twigs,lit_smbranch,lit_lbranch,lit_WDW,lit_moss,avail_n
632,2,150,18.4372,2.28096,0.503141E-01,90.5655,102.369,67.8652,1.11680,0.00000,0.00000,0.00000,0.865209E-02,0.00000,0.00000,0.316109E-01,0.00000,0.00000,0.00000,14.5268,1.29307,10.6323,1.11111,36.9568,2.03681,3.33977,9.49512,6.27080,0.301787,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,39.5991
632,2,155,18.5497,2.43525,0.537303E-01,96.7146,102.969,67.6629,1.11345,0.00000,0.00000,0.00000,0.714841E-02,0.00000,0.00000,0.272141E-01,0.00000,0.00000,0.00000,15.0011,1.21183,10.6229,1.04660,35.6964,2.01531,3.30452,9.39490,5.95861,0.332682,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,42.7866
632,2,160,18.5481,2.63299,0.572519E-01,103.053,110.954,68.0864,1.11949,0.00000,0.00000,0.00000,0.500240E-02,0.00000,0.00000,0.255517E-01,0.00000,0.00000,0.00000,14.9577,1.01914,10.1284,0.953507,34.3088,1.95076,3.19867,9.09396,6.20028,0.367499,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,53.6431
632,2,165,19.0929,2.79657,0.615188E-01,110.734,98.4460,68.1913,1.12198,0.00000,0.00000,0.00000,0.506082E-02,0.00000,0.00000,0.308769E-01,0.00000,0.00000,0.00000,16.2970,0.958839,11.9313,0.887630,34.6142,2.15395,3.53185,10.0412,5.92293,0.425159,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,32.4056
632,2,170,19.0308,3.14225,0.675811E-01,121.646,105.762,67.9096,1.11722,0.00000,0.00000,0.00000,0.822766E-02,0.00000,0.00000,0.348079E-01,0.00000,0.00000,0.00000,16.2716,0.770789,13.0798,0.872052,35.6909,2.29053,3.75579,10.6779,5.66480,0.482466,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,45.1616
632,2,175,19.5700,3.56012,0.751764E-01,135.318,105.670,68.9986,1.13763,0.00000,0.00000,0.00000,0.153923E-01,0.00000,0.00000,0.347144E-01,0.00000,0.00000,0.00000,17.1228,0.693345,13.2660,0.846806,35.1776,2.38631,3.91285,11.1244,5.47726,0.571151,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,46.4301
632,2,180,20.0029,4.08292,0.837863E-01,150.815,101.546,69.6275,1.15073,0.00000,0.00000,0.00000,0.220678E-01,0.00000,0.00000,0.326864E-01,0.00000,0.00000,0.00000,17.8599,0.640985,13.4310,0.837165,34.6014,2.47291,4.05485,11.5281,5.47520,0.678557,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,47.1628
632,2,185,20.9547,4.59984,0.910134E-01,163.824,91.7532,70.5314,1.16740,0.00000,0.00000,0.00000,0.317176E-01,0.00000,0.00000,0.420281E-01,0.00000,0.00000,0.00000,19.7598,0.580043,15.7529,0.855695,35.4543,2.76872,4.53989,12.9071,5.32418,0.815995,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,28.7993
632,2,190,21.7133,5.15163,0.100511,180.920,99.0725,71.4730,1.18471,0.00000,0.00000,0.00000,0.407829E-01,0.00000,0.00000,0.567773E-01,0.00000,0.00000,0.00000,21.2112,0.494945,16.9444,0.873882,34.1431,2.87080,4.70727,13.3830,5.30097,0.969202,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,29.6333
632,2,195,22.6797,5.50441,0.110903,199.625,96.6513,72.6178,1.20630,0.00000,0.00000,0.00000,0.512939E-01,0.00000,0.00000,0.681330E-01,0.00000,0.00000,0.00000,22.9152,0.492853,19.1170,0.939150,34.0844,3.15242,5.16904,14.6958,4.95990,1.14602,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30.2830
