siteID,runID,year,genus,degday_death,drought_death,shade_death,perm_death,flood_death,nutrient_death,fire_death,harv_death,wind_death,mean_diam,total_biomC,total_biomC_sd
632,2,110,Populus,0.00000,0.00000,0.642812E-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.652907E-01,0.642812E-03,0.802501E-02
632,2,110,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,115,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,115,Betula,0.00000,0.00000,0.393945E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.828793E-01,0.393945E-02,0.556135E-01
632,2,115,Larix,0.00000,0.00000,0.155012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.802956,0.155012,0.885536
632,2,115,Picea,0.00000,0.00000,0.531071,0.00000,0.00000,0.454495,0.00000,0.00000,0.00000,5.91470,0.985566,2.07855
632,2,115,Populus,0.00000,0.00000,0.705199E-04,0.00000,0.00000,0.850869E-01,0.00000,0.00000,0.00000,0.263196,0.851575E-01,1.20331
632,2,115,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,120,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,120,Betula,0.00000,0.00000,0.527098E-04,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.153435E-01,0.527098E-04,0.745430E-03
632,2,120,Larix,0.00000,0.00000,0.214123E-01,0.717579E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.737632,0.931701E-01,0.652526
632,2,120,Picea,0.00000,0.00000,0.564943,0.164455,0.00000,0.884731,0.00000,0.00000,0.00000,7.62838,1.61413,3.01141
632,2,120,Populus,0.00000,0.00000,0.230567E-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.396255E-01,0.230567E-03,0.230543E-02
632,2,120,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,125,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,125,Betula,0.00000,0.00000,0.283691E-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.390255E-01,0.283691E-03,0.351182E-02
632,2,125,Larix,0.00000,0.00000,0.239365E-01,0.309073E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.379379,0.548438E-01,0.529829
632,2,125,Picea,0.00000,0.00000,0.587031,0.194710E-01,0.00000,0.842578,0.00000,0.00000,0.00000,7.48695,1.44908,2.91339
632,2,125,Populus,0.00000,0.00000,0.350198E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.934580E-01,0.350198E-02,0.492634E-01
632,2,125,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,130,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,130,Betula,0.00000,0.00000,0.180038E-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.238436E-01,0.180038E-03,0.254612E-02
632,2,130,Larix,0.00000,0.00000,0.821290E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.512510,0.821290E-01,0.670078
632,2,130,Picea,0.00000,0.00000,0.522823,0.549555E-01,0.00000,0.528878,0.00000,0.00000,0.00000,6.40020,1.10666,2.60594
632,2,130,Populus,0.00000,0.00000,0.101413E-04,0.00000,0.00000,0.472239E-01,0.00000,0.00000,0.00000,0.204265,0.472341E-01,0.667847
632,2,130,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,135,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,135,Betula,0.00000,0.00000,0.546225E-05,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.565336E-02,0.546225E-05,0.772478E-04
632,2,135,Larix,0.00000,0.00000,0.377566E-01,0.00000,0.00000,0.217281E-01,0.00000,0.00000,0.00000,0.372520,0.594848E-01,0.542351
632,2,135,Picea,0.00000,0.00000,0.648991,0.125023E-01,0.00000,0.767308,0.00000,0.00000,0.00000,6.42319,1.42880,3.03996
632,2,135,Populus,0.00000,0.00000,0.237524E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.670598E-01,0.237524E-02,0.335910E-01
632,2,135,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,140,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,140,Betula,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,140,Larix,0.00000,0.00000,0.768072E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.452484,0.768072E-01,0.725592
632,2,140,Picea,0.00000,0.00000,0.687055,0.00000,0.301305E-01,0.738430,0.00000,0.00000,0.00000,7.16044,1.45562,3.13489
632,2,140,Populus,0.00000,0.00000,0.188575E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.677650E-01,0.188575E-02,0.256644E-01
632,2,140,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,145,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,145,Betula,0.00000,0.00000,0.140514E-04,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.838700E-02,0.140514E-04,0.198717E-03
632,2,145,Larix,0.00000,0.00000,0.119871E-02,0.00000,0.00000,0.283032E-01,0.00000,0.00000,0.00000,0.212667,0.295019E-01,0.400516
632,2,145,Picea,0.00000,0.00000,0.625537,0.743667E-01,0.00000,0.597026,0.00000,0.00000,0.00000,6.34258,1.29693,2.85147
632,2,145,Populus,0.00000,0.00000,0.169965E-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.223492E-01,0.169965E-03,0.240367E-02
632,2,145,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,150,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,150,Betula,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,150,Larix,0.00000,0.00000,0.351159E-01,0.197838E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.464360,0.548997E-01,0.473974
